Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
         -5.2,    -0.2568025, ,          -4.8,    -0.1990091, ,          -5.2,    -0.2487928, ,          -4.2,    -0.1141826, ,          -5.6,    -0.2953281, ,          -4.4,    -0.1370302, ,          -5.4,    -0.2659099, ,          -4.2,     -0.108503, ,          -5.2,    -0.2371657, ,          -4.6,    -0.1580176, , 
           -5,    -0.2282152, ,          -4.6,    -0.1716029, ,            -5,    -0.2227919, ,            -4,   -0.08742375, ,          -5.4,    -0.2690619, ,          -4.2,    -0.1105594, ,          -5.2,    -0.2395317, ,            -4,   -0.08250455, ,            -5,    -0.2109683, ,          -4.4,    -0.1318657, , 
         -4.8,    -0.1987907, ,          -4.4,    -0.1437312, ,          -4.8,    -0.1964888, ,          -3.8,   -0.05997854, ,          -5.2,    -0.2431613, ,            -4,   -0.08455307, ,            -5,     -0.213211, ,          -3.8,   -0.05610434, ,          -4.8,    -0.1848573, ,          -4.2,    -0.1062187, , 
         -4.6,    -0.1687259, ,          -4.2,    -0.1155933, ,          -4.6,    -0.1699246, ,          -3.6,   -0.03294546, ,          -4.8,    -0.1912432, ,          -3.8,   -0.05851747, ,          -4.8,    -0.1871246, ,          -3.6,   -0.03024851, ,          -4.6,    -0.1585671, ,            -4,   -0.08050581, , 
         -4.4,    -0.1372837, ,            -4,   -0.08684229, ,          -4.4,    -0.1431024, ,          -3.4,  -0.005042988, ,          -4.6,    -0.1651635, ,          -3.6,   -0.03208573, ,          -4.6,     -0.161481, ,          -3.4,   -0.00432362, ,          -4.4,    -0.1329417, ,          -3.8,   -0.05465626, , 
         -4.2,    -0.1040176, ,          -3.8,    -0.0583061, ,          -4.2,    -0.1155597, ,          -3.2,    0.02250964, ,          -4.4,    -0.1385696, ,          -3.4,   -0.00509204, ,          -4.4,    -0.1355854, ,          -3.2,    0.02190182, ,          -4.2,    -0.1074872, ,          -3.6,   -0.02894702, , 
           -4,   -0.07214553, ,          -3.6,   -0.02869095, ,            -4,   -0.08822058, ,            -3,    0.05038196, ,          -4.2,    -0.1122553, ,          -3.2,    0.02149926, ,          -4.2,    -0.1095491, ,            -3,    0.04840856, ,            -4,   -0.08141191, ,          -3.4,  -0.003323133, , 
         -3.8,    -0.0443974, ,          -3.2,    0.03255861, ,          -3.4,  -0.003732617, ,          -2.8,    0.07783703, ,            -4,   -0.08602781, ,            -3,    0.04840063, ,            -4,   -0.08324382, ,          -2.8,    0.07445273, ,          -3.8,   -0.05545254, ,          -3.2,    0.02220757, , 
         -3.6,   -0.01829498, ,            -3,    0.06188011, ,            -3,    0.05292786, ,          -2.6,     0.1058203, ,          -3.8,   -0.05944265, ,          -2.8,    0.07583769, ,          -3.8,   -0.05729711, ,          -2.6,     0.1001661, ,          -3.6,   -0.02933883, ,            -3,    0.04760288, , 
         -3.4,   0.007169611, ,          -2.8,    0.08946493, ,          -2.8,    0.08203102, ,          -2.4,     0.1344213, ,          -3.6,   -0.03234202, ,          -2.6,     0.1025591, ,          -3.6,   -0.03120779, ,          -2.2,     0.1524701, ,          -3.4,  -0.003635639, ,          -2.8,    0.07306318, , 
