Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
           -5,    -0.5463469, ,          -5.6,    -0.6248179, ,          -5.6,    -0.6332876, ,          -5.8,    -0.6581056, ,          -5.2,    -0.5933014, ,          -2.8,    -0.3197827, ,          -2.6,    -0.2971273, ,          -4.2,    -0.4820918, ,          -5.8,     -0.664888, ,          -5.8,    -0.6655701, , 
         -4.8,    -0.5211557, ,          -5.4,    -0.6041646, ,          -5.4,    -0.6115338, ,          -5.6,    -0.6358913, ,            -5,    -0.5708055, ,          -2.6,    -0.2966917, ,          -2.4,    -0.2740236, ,            -4,    -0.4590924, ,          -5.6,    -0.6421441, ,          -5.6,    -0.6427964, , 
         -4.6,    -0.4987444, ,          -5.2,    -0.5831152, ,          -5.2,    -0.5892938, ,          -5.4,    -0.6141208, ,          -4.8,    -0.5482126, ,          -2.2,    -0.2504485, ,          -2.2,     -0.250833, ,          -3.8,    -0.4360732, ,          -5.2,    -0.5966126, ,          -5.4,    -0.6199923, , 
         -4.4,    -0.4784715, ,            -5,    -0.5615529, ,            -5,    -0.5668734, ,          -5.2,    -0.5918626, ,          -4.6,    -0.5254185, ,            -2,    -0.2273767, ,            -2,    -0.2276996, ,          -3.6,    -0.4131396, ,            -5,    -0.5738544, ,          -5.2,    -0.5971726, , 
         -4.2,    -0.4583716, ,          -4.8,    -0.5395365, ,          -4.8,    -0.5444508, ,            -5,    -0.5694321, ,          -4.4,    -0.5025642, ,          -1.8,    -0.2043773, ,          -1.8,    -0.2046001, ,          -3.4,    -0.3901258, ,          -4.8,    -0.5509899, ,            -5,    -0.5743604, , 
           -4,     -0.437658, ,          -4.6,    -0.5173495, ,          -4.6,     -0.521971, ,          -4.8,    -0.5467251, ,          -4.2,    -0.4797972, ,          -1.6,    -0.1814421, ,          -1.6,    -0.1817227, ,          -3.2,    -0.3669731, ,          -4.6,    -0.5281559, ,          -4.8,    -0.5514957, , 
         -3.8,    -0.4167956, ,          -4.4,    -0.4951802, ,          -4.4,    -0.4993205, ,          -4.6,    -0.5240039, ,            -4,    -0.4569754, ,          -1.2,    -0.1352426, ,          -1.4,    -0.1585655, ,            -3,    -0.3438458, ,          -4.4,    -0.5052789, ,          -4.6,    -0.5286093, , 
         -3.6,    -0.3954264, ,          -4.2,    -0.4728698, ,          -4.2,    -0.4765463, ,          -4.4,    -0.5013501, ,          -3.8,    -0.4340484, ,          -0.8,   -0.08947237, ,          -1.2,    -0.1354633, ,          -2.8,    -0.3207436, ,          -4.2,    -0.4825779, ,          -4.4,    -0.5057093, , 
         -3.4,    -0.3738075, ,            -4,    -0.4503772, ,            -4,     -0.453805, ,          -4.2,    -0.4785862, ,          -3.6,    -0.4110448, ,          -0.6,   -0.06722109, ,            -1,    -0.1126133, ,          -2.6,    -0.2975534, ,          -3.8,    -0.4365568, ,          -4.2,    -0.4827855, , 
         -3.2,    -0.3522786, ,          -3.8,    -0.4277635, ,          -3.8,    -0.4311068, ,            -4,    -0.4556884, ,          -3.4,    -0.3880903, ,          -0.4,   -0.04497917, ,          -0.8,   -0.09021808, ,          -2.4,    -0.2743636, ,          -3.6,      -0.41352, ,            -4,     -0.460048, , 
