Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
         -6.2,    -0.6817485, ,          -5.6,    -0.6337933, ,            -6,    -0.6839141, ,          -5.6,    -0.6415718, ,          -2.8,    -0.3203494, ,          -0.4,   -0.04500837, ,          -2.6,    -0.2981845, ,          -4.2,    -0.4851729, ,          -5.6,    -0.6475621, , 
           -6,    -0.6612528, ,          -5.4,    -0.6114426, ,          -5.8,    -0.6612725, ,          -5.4,    -0.6186889, ,          -2.6,    -0.2973299, ,          -0.2,    -0.0227191, ,          -2.4,    -0.2750234, ,            -4,    -0.4619096, ,          -5.4,    -0.6244943, , 
         -5.8,      -0.64037, ,          -5.2,    -0.5889112, ,          -5.6,    -0.6385349, ,          -5.2,    -0.5957697, ,          -2.4,    -0.2743745, ,             0, -1.825726e-09, ,          -2.2,    -0.2519095, ,          -3.8,    -0.4386698, ,          -5.2,    -0.6014718, , 
         -5.6,    -0.6198997, ,            -5,    -0.5663051, ,          -5.4,     -0.615766, ,            -5,    -0.5728147, ,          -2.2,    -0.2511573, ,           0.2,    0.02271923, ,            -2,    -0.2286237, ,          -3.6,    -0.4154294, ,            -5,    -0.5784766, , 
         -5.4,    -0.5986759, ,          -4.8,    -0.5435694, ,          -5.2,     -0.593162, ,          -4.8,    -0.5498848, ,            -2,    -0.2278456, ,           0.4,    0.04500894, ,          -1.8,    -0.2053221, ,          -3.4,    -0.3921588, ,          -4.8,    -0.5553696, , 
         -5.2,    -0.5770809, ,          -4.6,    -0.5209167, ,            -5,    -0.5704717, ,          -4.6,    -0.5269902, ,          -1.8,    -0.2045452, ,           0.6,    0.06695651, ,          -1.6,    -0.1818684, ,          -3.2,    -0.3687958, ,          -4.6,    -0.5323101, , 
           -5,     -0.555178, ,          -4.4,    -0.4983859, ,          -4.8,     -0.547733, ,          -4.4,    -0.5041013, ,          -1.6,    -0.1813376, ,           0.8,    0.08915459, ,          -1.4,    -0.1586155, ,            -3,    -0.3454214, ,          -4.4,    -0.5090813, , 
         -4.8,    -0.5329834, ,          -4.2,    -0.4756471, ,          -4.6,    -0.5248958, ,          -4.2,    -0.4810917, ,          -1.4,    -0.1581652, ,             1,     0.1120027, ,          -1.2,    -0.1354373, ,          -2.8,    -0.3220877, ,          -4.2,     -0.485846, , 
         -4.6,    -0.5113474, ,            -4,    -0.4528031, ,          -4.4,    -0.5019312, ,            -4,    -0.4579813, ,          -1.2,     -0.135014, ,           1.2,     0.1351428, ,            -1,    -0.1125561, ,          -2.6,    -0.2986642, ,            -4,    -0.4625315, , 
         -4.4,    -0.4893033, ,          -3.8,    -0.4300747, ,          -4.2,    -0.4789136, ,          -3.8,    -0.4348864, ,            -1,    -0.1118817, ,           1.4,     0.1583394, ,          -0.8,    -0.0901451, ,          -2.4,    -0.2752753, ,          -3.8,    -0.4392091, , 
         -4.2,    -0.4672431, ,          -3.6,    -0.4072701, ,            -4,    -0.4560556, ,          -3.6,    -0.4118577, ,          -0.8,   -0.08900271, ,           1.6,     0.1815541, ,          -0.6,   -0.06777587, ,          -2.2,    -0.2521682, ,          -3.6,    -0.4159135, , 
           -4,    -0.4451805, ,          -3.4,     -0.384627, ,          -3.8,    -0.4331117, ,          -3.4,    -0.3888079, ,          -0.6,   -0.06632236, ,           1.8,     0.2049125, ,          -0.4,   -0.04557731, ,            -2,    -0.2289535, ,          -3.4,    -0.3926337, , 
         -3.8,    -0.4232619, ,          -3.2,    -0.3622477, ,          -3.6,     -0.410059, ,          -3.2,    -0.3656232, ,          -0.4,   -0.04415748, ,             2,     0.2283071, ,          -0.2,   -0.02279528, ,          -1.8,    -0.2056387, ,          -3.2,    -0.3692799, , 
         -3.6,    -0.4012371, ,            -3,     -0.339717, ,          -3.4,    -0.3870768, ,            -3,    -0.3426135, ,          -0.2,   -0.02230791, ,           2.2,     0.2515793, ,             0,  1.687137e-10, ,          -1.6,    -0.1823092, ,            -3,    -0.3458479, , 
         -3.4,    -0.3792265, ,          -2.8,    -0.3168643, ,          -3.2,    -0.3641136, ,          -2.8,    -0.3197032, ,             0, -1.353664e-09, ,           2.4,     0.2747636, ,           0.2,    0.02279539, ,          -1.4,    -0.1590314, ,          -2.8,    -0.3224555, , 
         -3.2,    -0.3571709, ,          -2.6,    -0.2943668, ,            -3,    -0.3415686, ,          -2.6,     -0.296872, ,           0.2,    0.02230807, ,           2.6,     0.2977702, ,           0.4,    0.04557777, ,          -1.2,     -0.136128, ,          -2.6,    -0.2991032, , 
           -3,    -0.3353476, ,          -2.4,     -0.271747, ,          -2.8,    -0.3188707, ,          -2.4,    -0.2737969, ,           0.4,     0.0441582, ,             3,      0.344378, ,           0.6,    0.06777708, ,            -1,    -0.1135536, ,          -2.4,    -0.2756169, , 
         -2.8,    -0.3136727, ,          -2.2,    -0.2493757, ,          -2.6,    -0.2959827, ,          -2.2,    -0.2505653, ,           0.6,    0.06632397, ,           3.2,     0.3675948, ,           0.8,    0.09014733, ,          -0.8,   -0.09087291, ,          -2.2,    -0.2523692, , 
         -2.6,    -0.2919923, ,            -2,    -0.2268471, ,          -2.4,    -0.2728744, ,            -2,    -0.2274296, ,           0.8,    0.08900531, ,           3.4,     0.3908369, ,             1,     0.1125597, ,          -0.6,   -0.06837598, ,            -2,    -0.2292231, , 
         -2.4,    -0.2709225, ,          -1.8,     -0.204486, ,          -2.2,    -0.2499743, ,          -1.8,    -0.2042855, ,             1,     0.1118855, ,           3.6,     0.4141444, ,           1.2,     0.1354423, ,          -0.4,   -0.04578808, ,          -1.8,    -0.2059228, , 
         -2.2,    -0.2503576, ,          -1.6,    -0.1824809, ,            -2,    -0.2270422, ,          -1.6,    -0.1811809, ,           1.2,      0.135019, ,           3.8,     0.4373311, ,           1.4,     0.1586218, ,          -0.2,    -0.0229717, ,          -1.6,    -0.1827152, , 
           -2,    -0.2301127, ,          -1.4,    -0.1605667, ,          -1.8,    -0.2041764, ,          -1.4,     -0.158178, ,           1.4,     0.1581715, ,             4,     0.4604544, ,           1.6,     0.1818762, ,             0,  3.034785e-09, ,          -1.4,    -0.1597848, , 
         -1.8,    -0.2090052, ,          -1.2,    -0.1386101, ,          -1.6,    -0.1812302, ,          -1.2,    -0.1350918, ,           1.6,     0.1813454, ,           4.2,     0.4835245, ,           1.8,     0.2053313, ,           0.2,     0.0229718, ,          -1.2,    -0.1368775, , 
         -1.6,    -0.1862705, ,            -1,    -0.1165433, ,          -1.4,    -0.1584396, ,            -1,     -0.112285, ,           1.8,     0.2045545, ,           4.4,     0.5066619, ,             2,     0.2286345, ,           0.4,    0.04578851, ,          -0.8,   -0.09147072, , 
         -1.4,    -0.1632123, ,          -0.8,    -0.0939968, ,          -1.2,    -0.1359342, ,          -0.6,   -0.06676599, ,             2,     0.2278566, ,           4.6,     0.5298141, ,           2.2,     0.2519219, ,           0.6,    0.06837703, ,          -0.6,   -0.06874711, , 
         -1.2,    -0.1399731, ,          -0.6,   -0.07064726, ,            -1,    -0.1134713, ,          -0.4,   -0.04394924, ,           2.2,     0.2511699, ,           4.8,     0.5529387, ,           2.4,     0.2750375, ,           0.8,    0.09087489, ,          -0.4,   -0.04601748, , 
           -1,    -0.1167916, ,          -0.4,   -0.04705459, ,          -0.8,   -0.09085732, ,          -0.2,   -0.02155911, ,           2.4,      0.274389, ,           5.2,     0.5990882, ,           2.6,     0.2982009, ,             1,     0.1135567, ,          -0.2,   -0.02312129, , 
         -0.8,   -0.09332706, ,          -0.2,   -0.02351024, ,          -0.6,   -0.06836385, ,             0,   2.93683e-11, ,           2.6,     0.2973464, ,           5.4,     0.6220294, ,           2.8,     0.3216147, ,           1.2,     0.1361326, ,             0, -8.594279e-11, , 
         -0.6,   -0.06994391, ,             0,  2.500699e-10, ,          -0.4,   -0.04582306, ,           0.2,    0.02155933, ,           2.8,     0.3203682, ,           5.6,     0.6448109, ,             3,     0.3449535, ,           1.4,     0.1590376, ,           0.2,    0.02312138, , 
         -0.4,   -0.04651069, ,           0.2,    0.02351029, ,          -0.2,   -0.02311176, ,           0.4,    0.04394998, ,           3.2,     0.3668278, ,           5.8,     0.6675757, ,           3.2,     0.3682302, ,           1.6,     0.1823168, ,           0.4,    0.04601787, , 
         -0.2,   -0.02316381, ,           0.4,    0.04705478, ,             0,  1.116862e-09, ,           0.6,    0.06676745, ,           3.4,     0.3899718, ,             6,     0.6903992, ,           3.4,     0.3916123, ,           1.8,     0.2056477, ,           0.6,    0.06874804, , 
            0,   4.35071e-09, ,           0.6,    0.07064767, ,           0.2,    0.02311185, ,             1,     0.1122885, ,           3.6,     0.4130979, ,           6.2,     0.7132441, ,           3.6,     0.4148955, ,             2,     0.2289642, ,           0.8,    0.09147247, , 
          0.2,    0.02316386, ,           0.8,    0.09399759, ,           0.4,    0.04582346, ,           1.2,     0.1350966, ,           3.8,     0.4363098, ,           6.4,     0.7360334, ,           3.8,     0.4380782, ,           2.2,     0.2521806, ,             1,     0.1143174, , 
          0.4,     0.0465109, ,             1,     0.1165448, ,           0.6,    0.06836484, ,           1.4,     0.1581842, ,             4,     0.4594661, ,           6.6,     0.7586982, ,             4,     0.4612426, ,           2.4,     0.2752897, ,           1.2,     0.1368817, , 
