Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
    0.1766481,   0.005202359, ,     0.1290422,   0.004300884, ,    0.02891941,   0.004745423, ,    0.09984531,   0.004939375, ,    0.04911248,   0.005176207, ,     0.4301018,   0.006473761, ,        0.4311,     0.0063321, ,     0.3386946,   0.005931824, ,     0.1427416,   0.006107513, ,     0.1425211,   0.006154925, , 
    0.1987021,    0.00529407, ,     0.1515992,   0.004436291, ,    0.05448001,   0.004528012, ,     0.1247895,   0.004943602, ,    0.07275844,   0.005346911, ,     0.4533203,   0.006546282, ,     0.4543713,   0.006399204, ,     0.3619817,   0.006013824, ,     0.1669223,    0.00613007, ,     0.1667182,   0.006159431, , 
    0.2204069,   0.005384373, ,     0.1743023,   0.004586224, ,    0.07988427,   0.004336488, ,     0.1494332,   0.005007083, ,    0.09663337,   0.005500197, ,     0.4765456,   0.006623118, ,     0.4775473,   0.006488456, ,     0.3853771,   0.006069684, ,      0.191074,   0.006143183, ,     0.1909127,   0.006160265, , 
    0.2423291,   0.005503703, ,     0.1970823,   0.004745216, ,     0.1048112,   0.004234124, ,     0.1730085,   0.005186001, ,     0.1212949,   0.005551275, ,     0.4996994,   0.006713883, ,     0.5007275,   0.006566143, ,     0.4086597,   0.006147137, ,     0.2156805,   0.006105324, ,     0.2152488,   0.006141287, , 
    0.2644919,   0.005664375, ,     0.2194838,   0.004995949, ,     0.1278636,   0.004388692, ,     0.1962837,   0.005366511, ,     0.1460678,   0.005557391, ,     0.5228499,   0.006792556, ,     0.5470448,   0.006730094, ,     0.4319451,   0.006208264, ,      0.240943,   0.006004856, ,     0.2398997,   0.006096005, , 
    0.2864983,   0.005821331, ,     0.2416072,   0.005335502, ,     0.1509122,   0.004558713, ,     0.2195759,   0.005518861, ,     0.1710855,   0.005529394, ,     0.5458933,   0.006888705, ,     0.5702274,   0.006796343, ,     0.4551144,    0.00629922, ,      0.268299,   0.005663216, ,     0.2664589,   0.005837949, , 
    0.3083357,   0.006040606, ,     0.2636197,   0.005733172, ,     0.1738042,   0.004792491, ,     0.2427203,   0.005683108, ,     0.1964997,   0.005443458, ,     0.5690812,   0.006963355, ,     0.5933393,   0.006866317, ,     0.4783612,   0.006366845, ,     0.2926715,   0.005625104, ,     0.2929587,   0.005590005, , 
    0.3298641,   0.006394537, ,     0.2858401,   0.006092158, ,     0.1963093,   0.005122261, ,     0.2887392,   0.006039937, ,     0.2201181,   0.005551504, ,     0.5922197,   0.007033226, ,     0.6165172,   0.006930372, ,     0.5015516,   0.006452394, ,     0.3160002,   0.005750963, ,     0.3163939,   0.005705116, , 
    0.3503039,     0.0069545, ,     0.3083474,   0.006381236, ,     0.2188527,   0.005441154, ,      0.311902,   0.006177949, ,      0.289896,   0.005943886, ,      0.638417,    0.00717578, ,     0.6396272,   0.007001711, ,      0.524736,   0.006530994, ,     0.3392562,   0.005853079, ,     0.3397966,   0.005782716, , 
    0.3711647,   0.007490088, ,     0.3308997,   0.006643773, ,     0.2416885,   0.005669795, ,     0.3349974,   0.006318288, ,     0.3131362,    0.00605878, ,     0.6614311,   0.007256936, ,     0.6624883,   0.007122349, ,     0.5479345,   0.006597782, ,     0.3626267,   0.005919137, ,     0.3631338,   0.005844727, , 
    0.3927436,   0.007908204, ,     0.3533758,   0.006923697, ,     0.2645432,   0.005882023, ,     0.3579795,    0.00648065, ,     0.3363409,   0.006172345, ,     0.6841326,   0.007405902, ,     0.6853606,    0.00724975, ,     0.5711124,   0.006661667, ,      0.385964,   0.005989729, ,     0.3864742,   0.005914042, , 
    0.4145075,    0.00830317, ,     0.3986019,   0.007403122, ,     0.2874254,   0.006094502, ,     0.3808724,   0.006659598, ,      0.359275,   0.006355713, ,     0.7069707,   0.007515932, ,     0.7083181,   0.007339126, ,     0.5943319,    0.00672184, ,     0.4326153,   0.006116894, ,     0.4098862,   0.005961732, , 
