Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
   -0.7132832,    0.01089829, ,    -0.7837989,   0.009831597, ,    -0.7796607,   0.009188382, ,     -0.824351,     0.0095103, ,    -0.7471725,   0.008707989, ,    -0.5035995,   0.006683632, ,    -0.4584859,   0.006416189, ,    -0.6413744,   0.007074563, ,    -0.8440547,     0.0080501, ,    -0.8455435,   0.007819082, , 
   -0.6938706,    0.01039792, ,    -0.7625054,    0.00959557, ,    -0.7569618,    0.00898431, ,    -0.8054963,    0.00924131, ,    -0.7256134,   0.008480251, ,     -0.480676,   0.006620806, ,      -0.43557,   0.006329982, ,    -0.6186436,    0.00698567, ,    -0.8217552,   0.007953983, ,    -0.8232324,   0.007710308, , 
   -0.6732751,    0.01021413, ,    -0.7387189,   0.009363698, ,    -0.7374832,   0.008805022, ,    -0.7863482,   0.009021043, ,    -0.7039955,   0.008244238, ,    -0.4349434,   0.006451313, ,    -0.4126292,   0.006255959, ,    -0.5959826,   0.006841711, ,    -0.7995977,   0.007807811, ,    -0.8010216,   0.007554874, , 
   -0.6534319,   0.009973256, ,    -0.7119665,   0.009127582, ,    -0.7178137,   0.008654154, ,    -0.7660412,    0.00883736, ,    -0.6821365,   0.008032664, ,    -0.4119478,   0.006396842, ,    -0.3895908,   0.006209186, ,    -0.5732802,   0.006739763, ,    -0.7775275,    0.00761771, ,    -0.7786533,   0.007420664, , 
   -0.6286632,   0.009812133, ,    -0.6869913,   0.008856229, ,    -0.6972699,   0.008512828, ,    -0.7449023,   0.008699047, ,    -0.6599944,   0.007861486, ,    -0.3889073,   0.006349156, ,    -0.3664811,   0.006156803, ,    -0.5504386,    0.00666398, ,    -0.7328405,   0.007319135, ,    -0.7336571,   0.007181228, , 
   -0.6005773,   0.009702089, ,    -0.6643613,   0.008657548, ,    -0.6761145,   0.008375124, ,    -0.7237085,    0.00849735, ,    -0.6377065,   0.007706183, ,    -0.3658978,   0.006285172, ,    -0.3434625,    0.00607689, ,    -0.5276223,   0.006572701, ,    -0.7102176,   0.007223243, ,    -0.7109895,   0.007088993, , 
   -0.5732975,   0.009446043, ,    -0.6445936,   0.008483654, ,    -0.6551136,   0.008098697, ,    -0.7020769,   0.008317747, ,    -0.6153026,   0.007560741, ,     -0.342931,   0.006208525, ,    -0.3203197,   0.006006199, ,    -0.5048655,   0.006471956, ,    -0.6875731,   0.007125981, ,    -0.6883032,   0.007000825, , 
   -0.5463469,   0.009283137, ,    -0.6248179,   0.008375745, ,    -0.6332876,   0.007979469, ,    -0.6581056,   0.008016204, ,    -0.5933014,   0.007263425, ,    -0.3197827,   0.006150587, ,    -0.2971273,   0.005948556, ,    -0.4820918,   0.006354126, ,     -0.664888,   0.007029752, ,    -0.6655701,   0.006910536, , 
   -0.5211557,   0.009164587, ,    -0.6041646,   0.008289896, ,    -0.6115338,   0.007825011, ,    -0.6358913,   0.007870639, ,    -0.5708055,   0.007133188, ,    -0.2966917,   0.006074592, ,    -0.2740236,   0.005876849, ,    -0.4590924,   0.006296802, ,    -0.6421441,   0.006938123, ,    -0.6427964,   0.006826694, , 
   -0.4987444,   0.009029483, ,    -0.5831152,   0.008182231, ,    -0.5892938,   0.007732014, ,    -0.6141208,   0.007584514, ,    -0.5482126,   0.007023294, ,    -0.2504485,   0.005929385, ,     -0.250833,   0.005819866, ,    -0.4360732,   0.006236719, ,    -0.5966126,   0.006740713, ,    -0.6199923,   0.006749558, , 
   -0.4784715,   0.008893088, ,    -0.5615529,    0.00810675, ,    -0.5668734,    0.00765165, ,    -0.5918626,   0.007444855, ,    -0.5254185,   0.006938018, ,    -0.2273767,   0.005842009, ,    -0.2276996,   0.005739876, ,    -0.4131396,   0.006154277, ,    -0.5738544,    0.00664747, ,    -0.5971726,   0.006649029, , 
   -0.4583716,   0.008802525, ,    -0.5395365,   0.008043979, ,    -0.5444508,   0.007557439, ,    -0.5694321,   0.007329078, ,    -0.5025642,   0.006868396, ,    -0.2043773,   0.005731953, ,    -0.2046001,    0.00566416, ,    -0.3901258,   0.006092306, ,    -0.5509899,   0.006571993, ,    -0.5743604,   0.006566471, , 
