Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
   -0.7652003,    0.01145109, ,    -0.7447403,   0.009524241, ,    -0.7731165,   0.009016255, ,    -0.7318571,   0.008374627, ,    -0.4130699,   0.006866287, ,    -0.1351377,   0.005609017, ,    -0.3915878,     0.0064523, ,    -0.5778771,   0.006851285, ,    -0.7385765,   0.007450923, , 
   -0.7417271,    0.01113695, ,    -0.7226552,   0.009436548, ,    -0.7509997,   0.008882903, ,    -0.7094231,   0.008254904, ,    -0.3899463,   0.006790373, ,    -0.1119988,   0.005530025, ,    -0.3682078,    0.00638873, ,    -0.5547787,   0.006784216, ,    -0.7163095,   0.007266446, , 
   -0.7207667,    0.01096552, ,    -0.7004022,   0.009358551, ,    -0.7288403,    0.00875257, ,    -0.6869683,   0.008128345, ,    -0.3668047,    0.00670687, ,   -0.08915198,   0.005495148, ,    -0.3449333,    0.00630316, ,    -0.5316139,   0.006709803, ,    -0.6935402,   0.007156299, , 
   -0.7014391,    0.01084409, ,    -0.6560217,   0.009127425, ,    -0.7064607,   0.008640801, ,    -0.6643395,    0.00802354, ,    -0.3435558,   0.006648449, ,   -0.06695508,   0.005542762, ,    -0.3215964,   0.006230135, ,    -0.5084073,   0.006648452, ,    -0.6705853,   0.007077528, , 
   -0.6817485,    0.01074824, ,    -0.6337933,   0.009001158, ,    -0.6839141,   0.008544364, ,    -0.6415718,   0.007938203, ,    -0.3203494,   0.006552617, ,   -0.04500837,   0.005704393, ,    -0.2981845,   0.006172809, ,    -0.4851729,   0.006593402, ,    -0.6475621,   0.007001212, , 
   -0.6612528,    0.01066621, ,    -0.6114426,   0.008889694, ,    -0.6612725,     0.0084593, ,    -0.6186889,   0.007853274, ,    -0.2973299,   0.006420054, ,    -0.0227191,   0.005780668, ,    -0.2750234,   0.006063951, ,    -0.4619097,   0.006537343, ,    -0.6244943,   0.006926361, , 
     -0.64037,    0.01058457, ,    -0.5889112,   0.008784901, ,    -0.6385348,   0.008378379, ,    -0.5957696,   0.007777884, ,    -0.2743745,   0.006272719, , -1.825726e-09,   0.005790881, ,    -0.2519095,   0.005926782, ,    -0.4386698,    0.00647465, ,    -0.6014718,   0.006849864, , 
   -0.6198996,    0.01036756, ,    -0.5663052,    0.00869718, ,     -0.615766,   0.008298524, ,    -0.5728146,    0.00770737, ,    -0.2511573,   0.006176912, ,    0.02271923,   0.005780668, ,    -0.2286237,    0.00582652, ,    -0.4154294,   0.006392348, ,    -0.5784766,    0.00675382, , 
   -0.5986759,    0.01021769, ,    -0.5435694,   0.008612076, ,    -0.5931621,   0.008187065, ,    -0.5498848,   0.007609992, ,    -0.2278456,   0.006098907, ,    0.04500894,   0.005704389, ,    -0.2053221,   0.005745511, ,    -0.3921588,   0.006315457, ,    -0.5553696,   0.006675313, , 
   -0.5770809,    0.01009577, ,    -0.5209168,   0.008509276, ,    -0.5704716,   0.008072774, ,    -0.5269902,   0.007510248, ,    -0.2045452,   0.005998312, ,    0.06695651,   0.005542755, ,    -0.1818683,   0.005694531, ,    -0.3687958,   0.006255323, ,    -0.5323101,   0.006596679, , 
